Hate_Speech,TARGET,dialoGPT,BART,BERT,T5,gpt2,dialoGPT_deco,gpt2_deco,BERT_deco,BART_deco,T5_deco,gpt2_suitable,gpt2_specific,gpt2_grammar,gpt2_choose_or_not,gpt2_is_best,T5_suitable,T5_specific,T5_grammar,T5_choose_or_not,T5_is_best,BART_suitable,BART_specific,BART_grammar,BART_choose_or_not,BART_is_best,dialoGPT_suitable,dialoGPT_specific,dialoGPT_grammar,dialoGPT_choose_or_not,dialoGPT_is_best,BERT_suitable,BERT_specific,BERT_grammar,BERT_choose_or_not,BERT_is_best,Annotator
muslim folks don't deserve to live.,MUSLIMS,Do you really think it is appropriate to insult a group because of a few words they have said? It seems a bit much.,The fact that some people are different from others doesn't mean that they don't deserve to live.,"islam is a religion of peace and tolerance. it is not about killing people for their lives, they are just trying to live their life as well.",Do you think that muslims deserve to live the way they do?,Why would you think that they don't deserve to live? They are all just citizens with the right to practice their religion as they wish.,tp,kp,bs,tk,tp,5,3,5,1,1,3,2,5,1,0,4,2,5,1,0,1,2,5,0,0,3,3,4,1,0,two
"I ask for nothing in return but the removal of immigrants from my country. They are our enemies, They are not welcome here.",MIGRANTS,"We can't simply remove the demand for people to come here. If the demand remains constant, we can make exceptions and take in new arrivals.","I would like to see the removal of people from our country, and I don't see how it can be good for our country.","this is not true, we are all born equal in the eyes of the law. we should welcome them regardless of their religion, regardless of the religion we are living in.",The majority of immigrants in the UK are contributing members of our society. If the majority were to be removed they would be treated as equal.,"If you were to ask me what I would like to see in the world, what I really want is for everybody to be treated with respect and rights. I don't think that this is a mutually exclusive concept. What we need to do now is to promote a more equal society, not to fight for discrimination.",tp,tp,tk,tp,kp,5,4,4,1,1,2,3,5,1,0,1,2,5,0,0,3,3,5,1,0,5,2,5,1,0,one
"I ask for nothing in return but the removal of immigrants from my country. They are our enemies, They are not welcome here.",MIGRANTS,"We can't simply remove the demand for people to come here. If the demand remains constant, we can make exceptions and take in new arrivals.","I would like to see the removal of people from our country, and I don't see how it can be good for our country.","this is not true, we are all born equal in the eyes of the law. we should welcome them regardless of their religion, regardless of the religion we are living in.",The majority of immigrants in the UK are contributing members of our society. If the majority were to be removed they would be treated as equal.,"If you were to ask me what I would like to see in the world, what I really want is for everybody to be treated with respect and rights. I don't think that this is a mutually exclusive concept. What we need to do now is to promote a more equal society, not to fight for discrimination.",tp,tp,tk,tp,kp,5,5,5,1,1,3,2,5,1,0,1,1,5,0,0,2,4,5,1,0,4,5,4,1,0,two
They are invading our country. They are rapists and murderers.,MIGRANTS,Do you think this is true? What is the evidence that they are rapists and murderers? Do you know any?,"Why do you think they are invading our country? They are not rapists and murderers, they are just trying to get a better life.","this is not true. i don't think it is true that all muslims are a threat to our society, especially if they are not contributing members of our society. they are just trying to live their life as they wish to be.",It is not true that rapists and murderers are invading our country. They are not invading our country. And it is not true that they are invading our country.,What is the point of talking about them? They are not invading our country.,tp,kp,tk,tk,tk,3,2,5,1,0,3,1,3,1,0,5,3,5,1,1,5,2,5,1,0,3,2,5,1,0,one
They are invading our country. They are rapists and murderers.,MIGRANTS,Do you think this is true? What is the evidence that they are rapists and murderers? Do you know any?,"Why do you think they are invading our country? They are not rapists and murderers, they are just trying to get a better life.","this is not true. i don't think it is true that all muslims are a threat to our society, especially if they are not contributing members of our society. they are just trying to live their life as they wish to be.",It is not true that rapists and murderers are invading our country. They are not invading our country. And it is not true that they are invading our country.,What is the point of talking about them? They are not invading our country.,tp,kp,tk,tk,tk,4,2,5,1,0,3,1,5,0,0,5,3,5,1,1,5,2,5,1,0,1,3,2,0,0,two
We should deport all the illegal immigrants currently living in the US.,MIGRANTS,In the real world there are not many illegal immigrants. Most are citizens born in the US and they are very good at fulfilling their legal obligation and responsibilities.,There are many illegal immigrants living in the US. It is not true that we should deport all the illegal immigrants.,"it is not true that migrants are illegal in our country. they are not a burden to the country they are in, they are just trying to live their life as they wish.","We do not need all the illegal immigrants in the US. They have already begun living and working here, but are still living in the US.",The majority of undocumented immigrants in the US are here to work and provide for their families. They are not a burden on the system.,tk,tp,tp,tp,tp,3,3,5,1,1,1,2,4,0,0,2,2,5,0,0,2,3,5,0,0,2,2,5,1,0,one
We should deport all the illegal immigrants currently living in the US.,MIGRANTS,In the real world there are not many illegal immigrants. Most are citizens born in the US and they are very good at fulfilling their legal obligation and responsibilities.,There are many illegal immigrants living in the US. It is not true that we should deport all the illegal immigrants.,"it is not true that migrants are illegal in our country. they are not a burden to the country they are in, they are just trying to live their life as they wish.","We do not need all the illegal immigrants in the US. They have already begun living and working here, but are still living in the US.",The majority of undocumented immigrants in the US are here to work and provide for their families. They are not a burden on the system.,tk,tp,tp,tp,tp,4,4,5,1,1,1,2,5,1,0,2,2,4,0,0,2,4,5,0,0,4,5,4,1,0,two
Migrants come here to have a better life upon our shoulders.,MIGRANTS,Migrants come here to work. Migrants do not get a better life for us. They also do not have the right to complain.,"Migrants come here to work, pay taxes and provide for their families. They have the right to live in our country.","the vast majority of immigrants come here to work and provide for their families. they are a part of our society, and we should welcome them.",Migrants come here to escape poverty and poverty and bring a better life to the United States. They must find a better life.,They come to integrate better. To integrate into the society. We should welcome them instead of denying them.,kp,kp,bs,bs,tp,5,3,5,1,0,5,2,4,1,0,5,3,5,1,1,2,3,5,1,0,5,3,5,1,0,one
Migrants come here to have a better life upon our shoulders.,MIGRANTS,Migrants come here to work. Migrants do not get a better life for us. They also do not have the right to complain.,"Migrants come here to work, pay taxes and provide for their families. They have the right to live in our country.","the vast majority of immigrants come here to work and provide for their families. they are a part of our society, and we should welcome them.",Migrants come here to escape poverty and poverty and bring a better life to the United States. They must find a better life.,They come to integrate better. To integrate into the society. We should welcome them instead of denying them.,kp,kp,bs,bs,tp,4,4,5,1,0,3,3,3,1,0,5,4,5,1,0,4,4,5,1,0,5,4,5,1,1,two
"Immigrants are not welcome in our country. They take our jobs, they take our country. They are not welcome here.",MIGRANTS,Immigrants have been contributing to our economy for many years. Their contributions are many. They also have the opportunity to work hard for our country.,"Immigrants are welcome in our country. They have the right to live and work here, regardless of their origin.","the vast majority of immigrants come here to work and provide for their families. they are our brothers and sisters. they have the right to be here to live and work in our country, and we should be proud of them.","Immigrants are welcome in our country. They have the right to work, they have the right to live and work here.","All undocumented immigrants have been documented by the U.S. government, and they are not taking our jobs. Many of them have worked hard to get here.",kp,tk,tp,kp,bs,2,3,5,1,0,3,3,4,1,0,5,2,5,1,0,5,3,4,1,0,5,3,5,1,1,one
